Title,Year
1408,2007
Any Given Wednesday,2000
Argylle,2022
Pulp Fiction,1994
QT8: The First Eight,2019
Quantum Quest: A Cassini Space Odyssey,2010
Quentin Tarantino: 20 Years of Filmmaking,2012
Quincy,2018
Ragtime,1981
Reasonable Doubt,2014
Resurrecting the Champ,2007
RoboCop,2014
Rules of Engagement,2000
Astro Boy,2009
S.W.A.T,2003
School Daze,1988
Sea of Love,1989
Shaft,2019
Shaft,2000
Snakes on a Plane,2006
Soul Men,2008
Sphere,1998
Spider-Man: Far from Home,2019
Avengers: Age of Ultron,2015
Spiral: From the Book of Saw,2021
Star Wars: Episode I - The Phantom Menace,1999
Star Wars: Episode II - Attack of the Clones,2002
Star Wars: Episode III - Revenge of the Sith,2005
Star Wars: The Rise of Skywalker,2019
Star Wars: The Clone Wars,2008
Strictly Business,1991
The 100 Best Black Movies (Ever),2007
Avengers Assemble,2012
The Avengers Assemble Premiere,2012
Avengers: Endgame,2019
The Banker,2020
The Caveman's Valentine,2001
The Exorcist III,1990
The Exterminator,1980
The Great White Hype,1996
The Hateful Eight,2015
The Hitman's Bodyguard,2017
The Incredibles,2004
The Last Full Measure,2019
Avengers: Infinity War,2018
The Legend of Tarzan,2016
The Long Kiss Goodnight,1996
The Man,2005
The Marvels,2023
The N Word,2004
The Negotiator,1998
The New Age,1994
The Other Guys,2010
The Asset,2021
Barely Lethal,2015
The Red Violin,1998
The Return of Superfly,1990
Fury(I),2012
The Search for One-eye Jimmy,1994
The Spirit,2008
The Start of Dreams,2010
Thor,2011
Together for Days,1972
Trees Lounge,1996
True Romance,1993
Basic,2003
Turbo,2013
Twisted(I),2004
Unbreakable,2000
Unchained Memories: Readings from the Slave Narratives,2003
Unforgivable Blackness: The Rise and Fall of Jack Johnson,2004
Unicorn Store,2017
Unthinkable,2010
Waking in Mississippi,1998
Be the Ball,2019
White Sands,1992
With Great Power: The Stan Lee Story,2010
Young Jeezy: A Hustlerz Ambition,2011
xXx,2002
xXx: Return of Xander Cage,2017
xXx: The Next Level,2005
Betsy's Wedding,1990
Bienvenue  Cannes,2007
A Backyard Story,2010
Coaching the Minors,2003
Big Game,2014
Black Snake Moan,2006
Blazing Samurai,2022
Captain America: The First Avenger,2011
Captain America: The Winter Soldier,2014
Captain Marvel,2019
Cell(I),2016
Changing Lanes,2002
Chi-Raq,2015
Cleaner,2007
A Shock to the System,1990
How Far Would You Go for Love?,2010
Coach Carter,2005
Coming to America,1988
Deep Blue Sea,1999
Def by Temptation,1990
Die Hard: With a Vengeance,1995
Django Unchained,2012
Do the Right Thing,1989
Eating You Alive,2018
Eddie Murphy: Raw,1987
A Time to Kill,1996
One for the Boys: The Difference,2016
Eve's Bayou,1997
Face of Unity,2014
Farce of the Penguins,2006
Fathers & Sons,1992
Fluke,1995
The 51st State,2001
Freedomland,2006
Fresh,1994
Glass,2019
Goodfellas,1990
Road to Ingwavuma,2008
Zambezia,2012
Gospel Hill,2008
Hail Caesar,1994
Hard Eight,1996
Hardcore Henry,2015
The Hitman's Wife's Bodyguard,2021
Home of the Brave,2006
I Ain't Scared of You: A Tribute to Bernie Mac,2011
I Am Not Your Negro,2016
Country of My Skull,2004
In the Land of the Free,2010
African Cats,2011
The Comeback,2002
The Incredibles 2,2018
Inglourious Basterds,2009
Iron Man,2008
Iron Man 2,2010
Jackie Brown,1997
Johnny Suede,1991
Juice,1992
Jumper,2008
Jumpin' at The Boneyard,1991
Jungle Fever,1991
Tyrannosaurus Funk,2017
Jurassic Park,1993
Kill Bill: Vol.2,2004
Kingsman: The Golden Circle,2017
Kingsman: The Secret Service,2014
Kiss of Death,1995
Kite,2014
Kong: Skull Island,2017
Lakeview Terrace,2008
Life Itself,2018
Life's Essentials with Ruby Dee,2014
Alexis Arquette: She's My Brother,2007
Wake the Fuck Up,2012
Loaded Weapon 1,1993
Losing Isaiah,1995
Magic Sticks,1987
Meeting Evil,2012
Menace II Society,1993
Miracle on 42nd Street,2017
Miss Peregrine's Home for Peculiar Children,2016
Mo' Better Blues,1990
Amos & Andrew,1993
"Watching, Waiting",2017
Mother and Child,2009
My Date with Drew,2004
No Good Deed,2002
Off the Menu: The Last Days of Chasen's,1997
Oldboy,2013
On the Shoulders of Giants: The Story of the Greatest Team You Never Heard Of,2010
One Eight Seven,1997
Out of Sight,1998
Patriot Games,1992
R2-D2: Beneath the Dome,2001
Moose,2018
A Night to Die for,1995
When Sharks Attack!,1999
Starz on the Set: 'xXx',2002
